в Москве; в Москву|in Moscow; to Moscow
только один день; два дня|only one day; two days
Быть или не быть|To be or not to be
Они работают в этом городе|They work in this town
Жизнь там хорошая.|Life is good there
Я скажу одно слово|I shall say one word
два глаза; большие глаза|two eyes; large eyes
Он был в моём доме, потом он пошёл на работу|He was in my house, then he went to work
Я вижу дом; Ты видишь её?|I see the house; Can you see her?
в их доме|in their house
под домом|under the house
Даже Иван знает это|Even Ivan knows that
Они думают о жизни|They think about life; Она не подумала о нём|She didn’t think about him
Очень хорошо!|Very good!
Можно идти?|Is it possible to go?
Иван тут, в нашем доме|Ivan is here, in our house
две тысячи слов|two thousand words
Знаете ли вы Ивана? Я не знаю, здесь ли он|Do you know Ivan? I don’t know whether he’s here
водка с водой; пить воду|vodka with water; to drink water
Ничто его не интересует; Он ничего не знает|Nothing interests him; He knows nothing
много работы|a lot of work
моя рука|my hand/arm
к себе; с собой|towards oneself; with oneself
молодые люди|young people
Он тоже ничего не сказал|He too said nothing
i Он спрашивает о войне|He asks about the war; p Я спросил его, знает ли он Ивана|I asked him whether he knew Ivan
без молока|without milk
Мы ничего не делаем|We are doing nothing; Он сделал всю работу|He did all the work
три часа|three o’clock/three hours
Он всё говорит о работе|He talks about work all the time
то есть; Если он здесь, то я уйду|that is (=i.e.); If he’s here, then I’ll leave
i Я хочу жить там, где она живёт|I want to live where she lives; p поживу, поживёшь, past пожил, пожила, пожило
с трудом|with difficulty
Он всё сделал сам|He did everything himself
Это хорошее вино|This is good wine
второй день нового года|the second day of the New Year
через улицу; через час|across the street; in an hour’s time
Здесь нет места|There is no place/room here
После работы мы идём домой|After work we go home
в нашей стране|in our country
двадцать домов|twenty houses
Она должна идти; Мы должны быть там в десять|She must (is obliged to) go; We ought to be there at ten
Он знает больше; больше хлеба|He knows more; more bread
Дом ваш|The house is yours
за дверью|behind the door
Мы с другом были в Москве|My friend and I were in Moscow
Мы смотрели на вашу машину|We were looking at your car
В комнате холодно|It’s cold in the room
Иван учится в университете|Ivan studies at university
над домом|above the house
над вашей головой|above your head
Почему вы не знаете?|Why don’t you know?
жизнь на земле|life on earth
Он сидит за столом|He is sitting behind (at) the table
Мы даём слово, что всё сделаем|We give (our) word that we shall do everything
Он стоит перед домом|He is standing in front of the house
Он тогда работал на заводе|He worked in a factory then
Кто сидит в комнате?|Who is sitting in the room?; p посижу, посидишь
В комнате сидят мальчики|The boys are sitting in the room
К Ивану пришла девушка|A girl has come to (see) Ivan
лётом; тысяча лет|in the summer; 1,000 years
Сегодня надо работать|Today one must work
на этой стороне|on this side
Машина совсем новая|The car is completely new
Они живут в маленьком доме|They live in a small house
несколько девушек|a few girls
Вдруг он спросил о Сталине|Suddenly he asked about Stalin
ни ... ни ...; Не было ни одного|neither ... nor ...; There wasn’t a single one
Я знаю ваше лицо|I know your face
Конечно нет!|Of course not!
русский народ|the Russian people
Мы начинаем понимать|We are beginning to understand; Он начал говорить|He began to speak
Он живёт здесь уже пять лет|He has been living here for five years already
Ведь он мой друг!|He’s my friend, you know!
трудные вопросы|difficult questions
Мальчик пишет|The boy is writing; я напишу, ты напишешь|I’ll write, you’ll write
Я пишу письмо|I am writing a letter
при мне; при Сталине; при заводе|in my presence; under Stalin; attached to the factory
машина моей матери|my mother’s car
Мне нужно идти|I must go
Она смотрит телевизор|She is watching television; Мы посмотрим фильм; Он посмотрел на меня|We’ll watch the film; He looked at me
сила характера; демократические силы|strength of character; democratic forces
Мы пришли вместе|We arrived together
Она вышла из комнаты|She went out of the room; Я выхожу из дома; Ты тоже выходишь|I leave the house; You leave too
Я люблю работать; Она вас любит|I like working; She loves you; p полюблю, полюбишь
по дороге домой|on the road (way) home
Она любит старые картины|She likes old pictures
Она живёт на нашей улице|She lives in our street
Она решила уйти; Кто решит задачу?|She decided to leave; Who will solve the problem?
На столе лежат пять книг|There are five books on the table
Всегда так|It is always like that
Голос у неё хороший|She has a good voice
Что это значит?|What does this mean?
Она ответила сразу|She answered at once
Это лишь одна из причин|That’s only one of the reasons
Я приду через три минуты|I shall come in three minutes’ time
Он начал снова|He began again
Окно открыто|The window is open
Если бы она знала, она бы помогла|If she had known, she would have helped
Вы уходите?|Are you leaving?; Он ушёл из университета|He has left the university
тысяча девятьсот пятый год|(the year) 1905
в последней комнате|in the last room
Мы проходили мимо завода|We were walking past a factory; Пройдите в комнату! Она прошла мимо него|Go through into the room! She walked past him
Она не думает об отце|She doesn’t think about (her) father
три часа|three hours; three o’clock
Они просто не знают|They simply don’t know
Я увижу её; Она увидела отца|I’ll see her; She saw her father
Как же так?; Где же она? тот же дом|But how can that be?; Where on earth is she?; the same house
Кто живёт в третьей квартире?|Who lives in flat number 3?
Я ушёл, потому что он там|I left because he is there
Никто не знает|Nobody knows
я жду; он ждёт; Ждите ответа!|I am waiting; he is waiting; Wait for an answer! /p подожду, подождёшь
Сколько лет?|How many years?
высокая девушка|a tall girl
Он говорит лучше, чем вы|Не speaks better than you
Ты получишь письмо завтра|You will receive the letter tomorrow
почти год|almost a year
В лесу тихо|It’s quiet in the forest
конец света; в конце года|the end of the world; at the end of the year
Ох, мой ноги|Oh, my feet
собственными глазами|with one’s own eyes
сто долларов; больше ста|a hundred dollars; more than a hundred
молодые художники|young artists
четыре времени года|four seasons
пока он здесь|while he is here
пока он не придёт|until he comes
Он слушает музыку|He is listening to music
по пути|on the way
белые дома|white houses
федеральная республика|federal republic
Мы шли быстро|We were walking quickly
Куда они пошли?|Where have they gone?
Вот главная улица|Here is the main street
У них нет детей|They have no children
i Он рассказывал о войне|He was talking about the war; p Я расскажу вам историю; Он рассказал нам о них|I’ll tell you a story; He talked about them
хороший совет|a good piece of advice
Мы читали газету|We were reading the newspaper
Никто не понимает|Nobody understands; Вы меня не поняли|You haven’t understood me
Пора идти|It is time to go
Я получил твоё письмо|I have received your letter
Он часто бывает здесь|He is often here
i: нахожу, находишь; Она нашла книгу?|Did she find the book?
песня о лёте|a song about summer
Как ваше имя?|What is your name? g sg имени
лидер партии|party leader
летние вечера|summer evenings
Почему вы опять здесь?|Why are you here again?
иметь право что-то сделать|to have the right to do something
между городом и лесом|between the town and the wood
настоящий друг; настоящее время|a real friend; the present time
Какие у вас планы?|What are your plans?
Он сказал правду|He told the truth
сорок человек|forty people
ходить в школу; Вчера мы ходили в кино; Я ходил по городу|to attend school; We went to the cinema yesterday; I walked round the town; p: схожу, сходишь
ходить в школу; Вчера мы ходили в кино; Я ходил по городу|to attend school; We went to the cinema yesterday; I walked round the town
i узнаю, узнаёшь; Я узнаю её; Мы узнали, где она живёт|I shall recognize her; We found out where she lives
работать в поле|to work in the field
Спокойной ночи!|Peaceful night (Goodnight)
Входите!|Come in!; я войду; я вошёл|I shall enter; I entered
Красная площадь|Red Square
более интересная книга|a more interesting book
уроки русского языка|Russian lessons
Вам нельзя курить здесь|You can’t smoke here
части тела|parts of the body
Она сидела рядом со мной|She was sitting next to me
i Газета лежит на столе|The paper is lying on the table; p p полежу, полежишь
Он слышал про эту книгу|Не has heard about this book
интересные друзья|interesting friends
Мы никогда не найдём их|We shall never find them
в этом районе|in this region
Всё, что нужно|Everything that is necessary
особенно высокий дом|an unusually tall house
Он отвечает на вопрос|He answers the question; Я отвечу на вопрос|I shall answer the question
Им нельзя говорить с начальником|They can’t speak to the boss
в разных странах|in various countries
тридцать художников|thirty artists
в десяти республиках|in ten republics
мир во всём мире|peace in the whole world
книга с картинами|a book with pictures
Центральный комитет|the Central Committee
интересная мысль|an interesting thought
принимать гостей|to receive guests
старший сын|elder son
вид на море; вид спорта|sea view; type of sport
среди друзей|among friends
В таком случае я пойду к начальнику|In that case I shall go to the boss
народная песня|folk song
Я помню её; Ты помнишь об этом?|I remember her; Do you remember that?
Прошу вас не курить; Он просит вас зайти|I ask you not to smoke; He asks you to call; p: попрошу, попросишь; Я попросил его войти I asked him to come in
Пусть идёт, если хочет|Let him go if he wants to
разговор о погоде|conversation about the weather
сидеть во дворе|to sit in the yard
Она сидела долго|She sat for a long time
три месяца; пять месяцев|3 months; 5 months
p я вернусь, ты вернёшься|I’ll return, you’ll return
профсоюз|trade union
во время войны|during the war
Они вернутся, хотя не хотят|They will return although they don’t want to
на берегу; берега реки|on the shore; banks of a river
Он ничего не делал целый день|He did nothing all day
Они вернулись группами|They returned in groups
Я скоро вернусь|I shall come back soon
Разговор со студентами|A talk with the students
школьные товарищи|schoolmates
части света|parts of the world
я сплю, ты спишь|I am asleep, you are asleep
жить полной жизнью|to live a full life
Идите сюда!|Come here!
Через два месяца он приедет в Лондон|In two months time, he will come to London
- Где письмо? - Вот оно|- Where’s the letter? -There it is
русские женщины|Russian women
на собрании|at a meeting
i: подхожу, подходишь; Она подошла к нам|She came up to us
деревья; много деревьев|trees; many trees
в нашем саду|in our garden
чуть видно; Он чуть не упал|barely visible; He nearly fell
Я не боюсь|I am not afraid
заниматься языками|to study languages
папа римский|the Pope (in Rome)
Им нужна помощь|They need help
в прошлом году|last year
Идите прямо!|Go straight on!
лучший друг; Всего лучшего!|best friend; All the best!
мастер своего дела|an expert at one’s job
секретарь директора|director’s secretary
стены дома|walls of a house
Оказалось, что он уже вернулся|It turned out that he had already returned
его сыновья; пять сыновей|his sons; five sons
мой братья; пять братьев|my brothers; five brothers
Зачем он пришёл?|Why has he come?
Они играют в футбол|They are playing football
у нас в институте|at our institute
пятый автобус|No. 5 bus
Он приедет раньше нас|He will arrive before us
В саду было тихо|It was quiet in the garden
чёрный хлеб|black bread
Пётр Великий|Peter the Great
Завтра будет собрание|There will be a meeting tomorrow
широкие улицы|wide streets
мало книг|few books
Наконец она узнала правду|In the end she learned the truth
плечи|shoulders
Разве он здесь?|Is he really here?
Разве вы не знаете?|Surely you know?
в снегу|in the snow
в будущем году|next year
с лёгким сердцем|with a light heart
Трудно её найти|It is difficult to find her
на русском языке|in Russian
Приходите к нам|Come and see us; Я пришёл первым|I arrived first
русская песня|Russian song
Он был здесь недавно|He was here recently
Советский Союз|Soviet Union
до некоторой степени|to a certain extent
Продолжайте!|Go on!
член клуба|club member
Я занят, поэтому не приду|I’m busy so I won’t come
Никто не заметит|No one will notice
В квартире три комнаты|The flat has three rooms
Его отец умеет говорить на пяти языках|His father can speak five languages. p: сумею, сумеешь
солнечный свет; вокруг света|sunlight; round the world
смотреть назад; два года (тому) назад|to look back; two years ago
три школьника|three schoolboys
Мы идём домой|We are going home
иметь право; изучать право|to have the right; to study law
сильные руки|strong hands
мужчина средних лет|a middle-aged man
Читайте дальше!|Read on!
трудная задача|difficult task
я бегу, ты бежишь, они бегут|I run, you run, they run
сильные ветры|strong winds
Он будет помогать нам|He will be helping us; Я тебе помогу; Ты поможешь мне|I shall help you; You will help me
словно он уже был там|as if he had already been there 
дорогие книги|expensive books
история России|history of Russia
я молчу, ты молчишь|I say nothing, you say nothing; p: замолчу, замолчишь
сидеть на солнце|nothing to sit in the sun
Павел дома?|Is Pavel at home?
открытое море; моря|the open sea; seas
У него огромная квартира|He has an enormous flat
ученики школы No. 5|the pupils of school no. 5
чувство юмора|sense of humour
я пою, ты поёшь|I sing, you sing; p спою, споёшь
борьба за власть|struggle for power
выступить с речью|to make a speech; русская речь|Russian speech (=spoken Russian)
Я еду на машине, а ты едешь на автобусе|I’m going by car, and you’re going by bus; я поеду, ты поедешь|I’ll go, you’ll go
много хлеба|a lot of bread
уличное движение|son to the park traffic
праздник Первого мая|May Day holiday
обращать внимание на +а|to pay attention to/note
Я считаю это нужным|I consider this necessary /p сочту, сочтёшь, past счёл, сочла
считать до десяти|to count to ten
Он иногда помогает мне|He sometimes helps me
я кричу, ты кричишь|I shout, you shout; p: закричу, закричишь
Он работает на новой фабрике|He works at the new factory 
Вы успеете это сделать?|Will you have time to do this?
Это действительно так|It really is so
Где именно?|Where exactly?
общее собрание; в общем|general meeting; in general
во всяком случае|in any case
директор завода; директора|factory manager; managers
красивая девушка|beautiful girl
номера|numbers
около дома; около тысячи рублей|near the house; about 1,000 roubles
Все парни считают её красивой|All the boys think her beautiful
народное хозяйство|national economy
вокруг света|around the world
русская душа; от всей Души|Russian soul; with all one’s heart
в четвёртом номере журнала|in the fourth number of the journal
шесть учеников|six pupils
Я подниму руку; Ты поднимешь этот вопрос?|I shall raise my hand; Will you raise this question?
с первого взгляда|at first sight
шесть инженеров|six engineers
Иван, а также Борис|Ivan and also Boris
тяжёлая промышленность|heavy industry
два цветка; красивые цветы|two flowers; nice flowers
i Я беру книгу, а ты берёшь газету|I take a book, and you take a paper; p Я возьму такси; Ты возьмёшь эту книгу?|I shall take a taxi; Will you take this book?
Конца ещё не видно|The end is not yet in sight
в воздухе|in the air
Мы давно здесь|We have been here a long time
p Я забуду его, ты тоже забудешь о нём|I’ll forget him, you’ll forget about him too
из-за дождя|because of the rain
По опыту знаю|I know by experience
Как вас зовут? Он зовёт на помощь|What is your name? He is calling for help; p позову, позовёшь
работать на стройке|to work on a building site
жёны|wives
бутылка молока|bottle of milk
i: ставлю, ставишь; Я поставлю машину здесь; Он поставит бутылку на стол|I will park my car here; He will put the bottle on the table
Однако, он забыл|However, he forgot
Он стоит на углу|He is standing at the corner
писать на красной бумаге|to write on red paper
Президент примет его завтра; Я приму меры|The president will see him tomorrow; I shall take measures
длинная улица|long street
занятия в университете|university studies
чистые руки|clean hands
я сажусь, ты садишься|I sit down, you sit down; я сяду, ты сядешь; Сядем на автобус|I’ll sit down, you’ll sit down; Let’s take a bus
Я бываю здесь часто|I come here often
шестая квартира|flat no. 6
военное время; военные|wartime; soldiers
i: встаю, встаёшь; p: Я встану в восемь часов; Ты встанешь в семь|I shall get up at eight; You’ll get up at seven
олимпийские игры|Olympic Games
член литературного кружка|member of a literary group
хозяева своей страны|masters of one’s own country
Нет никакого сомнения; Он ни к какому выводу не пришёл|There is no doubt at all; He came to no conclusion
дядя Ваня|Uncle Vanya
живой ум|lively mind
много деревень; жить в деревне|many villages; to live in the countryside
образ жизни; таким образом; образ правления|way of life; thus; form of government
Всё в порядке|Everything is alright
стать строителем|to become a construction worker
иметь успех; успехи|to be successful; progress/success
i: приношу, приносишь; Я принесу хлеб; Он принёс книгу|I shall bring the bread; He brought the book
слишком долго|too long
Доброе утро!|Good morning!
прежде всего|first of all
рассказы Чехова|Chekhov’s short stories
десять семей|ten families
в восемь часов утра|at eight o’clock in the morning
концентрационные лагеря|concentration camps
Я не знаком с ним; мои знакомые|I don’t know him; my acquaintances
Британская армия|the British Army
нос к носу; Зима на носу|face to face (nose to nose); Winter is coming (is on the nose)
Садитесь, пожалуйста|Please sit down
Он собирается уехать|He is about to leave
начать сначала|to begin from the beginning
западная техника|Western technology
много денег|a lot of money
сделать доклад|to make a report
оба доклада; обеими руками|both reports; with both hands
седьмое нёбо|seventh heaven
Он пришёл очень поздно|Не came very late
i попадать в цель to hit the target; Он не попадёт в цель; Как мне попасть на Красную площадь?|He won’t hit the target; How do I get to Red Square?
встреча со студентами|a meeting with the students
возможность поехать в Россию|a chance to go to Russia
министерство культуры|ministry of culture
i Я следую за ней; Вам следует помочь им|I am following her; You ought to help them; p последую, последуешь
футбольная команда|football team
Ну вот ...; Ну хорошо|Well, then ...; All right then
стоять в очереди|stand in a queue/wait in line
личный опыт|personal experience
средняя школа|secondary school
Он рос быстро; Он растёт|He grew quickly; He is growing
в колхозе|on a collective farm
по этой причине; причина войны|for that reason; reason for/cause of war
Ребята играют во дворе|The children play in the courtyard
Девочке пять лет|The little girl is five years old
Многие так думают|Many (people) think so
новые организации|new organizations
молодые мамы|young mothers
Поезд остановился на станции|The train stopped at the station
Я пойду туда завтра|I shall go there tomorrow
не так уж много|not so very many
Совершенно правильно|Absolutely right
Он спокойно взял все доллары|He calmly took all the dollars
Мне хотелось бы поговорить с ней|I should like to talk to her; p захочется
Всё-таки он не прав|Nevertheless he is wrong
Я знаю больше, чем вы|I know more than you do
Говорят, будто он ушёл|They claim he has left
по моему мнению|in my opinion
Я здесь впервые|I haven’t been here before
Можно взять любую книгу|You may take any book
Говорите медленно, пожалуйста|Please speak slowly
помогать друг другу|to help each other
Ей приходится молчать; Нам приходилось помогать им|She has to keep quiet; We had to help them; Нам пришлось уйти; Вам придётся идти к начальнику|We had to leave; You’ll have to go to the boss
в начале года|at the beginning of the year
Они похожи друг на друга|They are alike
читальный зал|reading room
Вы держите молоко в холодном месте?|Do you keep the milk in a cold place?
мелкое предприятие|a small business
спортивный зал|gymnasium/sports hall
весёлое настроение|cheerful mood
Да здравствуют мир и дружба!|Long live peace and friendship!
Здравствуй, Наташа|Hello, Natasha
шаг вперёд|a step forward
зелёная книга|a green book
небеса|the heavens
Я встречу вас на вокзале; Ты встретишь Новый год с нами?|I shall meet you at the station; Will you see the New Year in with us?
его отношение к вам; англо-русские отношения|his attitude to you; Anglo-Russian relations
много бабушек|many grandmothers
детский сад|kindergarten
p: Я остановлюсь перед домом; Он не остановится|I shall stop in front of the house; He will not stop
ответ на вопрос|answer to a question
в восьми школах|in eight schools
писать на доске|to write on the board
Скоро появится его жена|His wife will soon appear
восемь недель|eight weeks
Он работает на заводе |Не works in a factory
форма правления|form of government
Он является директором|He is the director
Все его вещи в этом чемодане|All his things are in this suitcase
герой войны|war hero
кроме меня; кроме того|except me; moreover/in addition
Я поднимусь на третий этаж; Они поднимутся на гору|I shall climb to the 3rd floor; They will climb the hill
дворец съездов|palace of congresses
точно в час|at one o’clock precisely
на полном ходу; ход событий|at full speed; course of events
Всё равно; Не всё ли равно?|It’s all the same; What difference does it make?
сделать шаг вперёд|to take a step forward
клуб художников|artist’s club
крупные промышленные центры|large industrial centres
Ты вспомнишь о ней?|Will you remember her?
Суздаль - город небольшой|Suzdal' is not a large town
художественная литература|belles-lettres, fiction (artistic literature)
Кто-то вошёл|Someone came in
Она нам нравится|We like her; p: понравлюсь, понравишься
школьные годы|school years
глава государства|head of state
американская армия|American army
Мы строим новую жизнь|We are building a new life
на восьмом съезде партии|at the eighth party congress
Денег осталось совсем немного|There is very little money left
сделать паузу|to pause
Она показывала ему свою квартиру|She was showing him her flat; Я покажу тебе дорогу|I shall show you the way
Иван живёт далеко от нас|Ivan lives far from us
Они выпили и затем продолжали разговор|They had a drink and then continued their talk
новые здания|new buildings
однажды вечером|one evening
Птицы летят на юг|The birds are flying south.
на самолёте|by plane
семь новых зданий; с семью друзьями|seven new buildings; with seven friends
шофёр такси|taxi driver
больше двухсот|more than two hundred
известные учёные|well-known scholars
Он ответил правильно|He answered correctly
принять решение|to take a decision
Он приедет вечером|He will come in the evening
Вы готовы?|Are you ready?
Она старалась открыть дверь|She was trying to open the door
Есть хорошие книги, «Война и мир», например|There are good books, “War and Peace”, for example
простые люди|ordinary people
произведения Толстого|Tolstoi’s works
Я учу новые русские слова|I am learning new Russian words
Он учит её русскому языку|He is teaching her Russian; p научу, научишь
иными словами; тот или иной|in other words; one or other
результаты нашей работы|results of our work
доктора|doctors
Он спросил, что случилось|He asked what happened
Никто не называл её красивой|No-one called her beautiful p назову, назовёшь
важные люди|important people
знания русского языка|knowledge of Russian
Она не улыбнётся|She will not smile
Он плохо знает английский язык|He doesn’t know English well
Он научился говорить по-русски|He learned to speak Russian
p Я открою дверь; Ты откроешь окно|I shall open the door; You will open the window
i: Она остаётся на ночь; Оставалось пять минут|She is staying the night; There were five minutes left; p: Я останусь здесь|I shall stay here
общественные науки|social sciences
из камня; много камней|made of stone; many stones
против войны; против школы|against war; opposite the school
общественное развитие|social development
Боже мой!|My goodness!
развитие общества|development of society
-Как дела? -Ничего; -Простите -Ничего|- How are things? - All right; - I’m sorry - It doesn’t matter
хорошие условия|good conditions
Дамы и господа! Это господин Смит|Ladies and Gentlemen! This is Mr Smith
много солдат|many soldiers
Октябрьская революция|the October Revolution
Занятия начинаются на следующей неделе|Classes begin next week; Собрание скоро начнётся|The meeting will soon begin
g pl областей
g чего-то
g pl властей; власти authorities
nom pl судьбы, g pl судеб
принять меры to take measures
nom pl ряды; pr в ряду: row, line; pr в ряде: series
i нахожусь, находишься; p: найдусь, найдёшься; past нашёлся, нашлась
i: гляжу, глядишь; p: погляжу, поглядишь
nom pl века; в прошлом веке last century
общественное мнение public opinion
интерес к языкам interest in languages
с целью +g with the object of
g sg огня; nom pl. огни
закон природы law of nature
трудящиеся массы the working masses
pr sg бою, nom pl бой, g pl боёв
g sg луча, nom pl лучи, g pl лучей
nom pl волны, g pl волн, d pl волнам
(nom pl листья, g pl листьев) leaf (of plant); (nom pl листы, g pl листов) sheet (of paper); g sg листа
Заходи хоть на минуту Drop in if only for a moment
g sg ребёнка; nom pl дети, g pl детей
отделение связи post office; в связи с +inst in connection with; торговые связи trade links
i: верю, веришь
двое мужчин two men
g чего-нибудь
p: представлю, представишь; представить себе to imagine
i: ищу, ищешь
i служу, служишь/p послужу, послужишь; послужить примером to serve as an example
i: ем, ешь, ест, едим, едите, едят, past ел, ела; p съем, съешь, съест, съедим, съедите, съедят, past съел, съела
жизнь рабочего life of a worker; рабочий класс working class
партийные работники party workers
g sg чёрта, nom pl черти, g pl чертей
i: требую, требуешь; p потребую
g sg корабля
рабочий класс working class
nom pl числа, g pl чисел
на базе +g on the basis of
g sg пальца
a sg реку, g sg реки, nom pl реки, d pl рекам
выпивать i/пить i; i: пью, пьёшь, past пил, пила, пило; p: выпью, выпьешь
a sg гору, g sg горы, nom pl горы, g pl гор, d pl горам; в гору uphill
производство машин car production
национальное меньшинство ethnic minority
Откуда он знает? How does he know?
p: брошу, бросишь
i: смеюсь, смеёшься
i: борюсь, борешься; за +a for
nom pl смерти, g pl смертей
g pl статей
nom pl счета; счёты abacus
сельское хозяйство agriculture
транспортные средства means of transport
nom pl скорости, g pl скоростей
nom pl чай, g pl чаёв
состоит
g pl точек; точка зрения point of view
стоит; Сколько это стоит? How much is this?
g sg ума
существую, существуешь
g sg врага
no pl
i: привожу, приводишь; p: приведу, приведёшь, past привёл, привела
g pl трубок
f сня, n сие, nom pl сии; сего месяца of this month; до сих пор up till now
g sg рубля
прав -а -о -ы (short forms) Она права She’s right
в течение +g during, in the course of
no pl
nom pl мужья, g pl мужей, d pl мужьям
i: происхожу, происходишь; p: произойдёт, past произошло
приложить все усилия to make every effort
i: бью, бьёшь, p: бить/побить; побью, побьёшь
g sg американца
g sg корня, nom pl корни, g pl корней
g sg немца
p: взгляну, взглянешь
nom pl стёкла, g pl стёкол, d pl стёклам; двойные стёкла double glazing
pr sg в краю, nom pl края, g pl краёв
g sg мужика
pr sg о степи, в степи; nom pl степи, g pl степей
nom pl цвета; в цвету in blossom
short forms счастлив, счастлива
pr sg в кругу, nom pl круги
важные моменты ситуации important features of the situation
pr sg в строю
g, d, pr sg дочери, inst sg дочерью, nom pl дочери, g pl дочерей, d pl дочерям, inst pl дочерьми, pr pl дочерях
использую
i: передаю, передаёшь; p: передам -дашь -даст -дадим -дадите -дадут, f past передала
g sg десятка
pr sg о крови, в крови; g pl кровей
i: отдаю, отдаёшь; p: отдам, отдашь, отдаст, отдадим, отдадите, отдадут; f past отдала
i: Времени не хватает There isn’t enough time; p: хватит; Времени хватит There will be enough time
выступать с речью to make a speech; p: выступлю, выступишь
p: займу, займёшь, past занял, заняла, заняло
nom pl фронты, g pl фронтов
nom pl глубины
пройти мимо дома to walk past the house
g pl сотен
inst of тот; тем лучше so much the better
nom pl вёсны, g pl вёсен, d pl вёснам
i: действую, действуешь
(pr sg на полу, nom pl полы) floor; (nom pl полы, g pl полов) sex
пять процентов 5 per cent; проценты interest
на родине in one’s homeland
nom pl зубы, g pl зубов
тем не менее none the less
p: прощу, простишь; Простате! Excuse mе
i вязать or связывать; p свяжу, свяжешь
g sg песка
g sg уровня
Ладно, пусть будет по-твоему All right, have it your own way
nom pl сёла; на селе in the country
p: вызову, вызовешь
Где остальные? Where are the others?
g sg семени, nom pl семена, g pl семян, d pl семенам
данные data
вовсе не not at all
часы приёма consulting hours
и прочее (abbr и пр. or и проч.) etcetera; между прочим by the way
Вон отсюда! Get out! вон там over there
партийное руководство party leadership
i: удаётся; Ему всё удаётся He’s successful at everything; p: удастся, past удалось; Ей удалось найти место She managed to find a seat
nom pl крестьяне, g pl крестьян, d pl крестьянам
g sg стиха; стихи verses, poetry
p: убью, убьёшь
едва (ли) не nearly, almost
Неужели он не знает? Does he really not know?
g pl степеней
sg войско
что-то вроде песка something like sand
i: пользуюсь, пользуешься; p воспользуюсь
p: явлюсь, явишься
i: пеку, печёшь, пекут; past пёк, пекла
pr sg о печи, в печи; g pl печей
i: казаться or показываться; Кажется, всё хорошо|It seems all is fine; покажусь, покажешься
nom pl главы
i: плачу, плачешь; p заплачу, заплачешь
g sg церкви, inst sg церковью, nom pl церкви, g pl церквей, d pl церквам
g pl часов
